Dz,ID,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi,stor
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4925.74257425743,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4876.23762376238,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4826.73267326733,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4777.22772277228,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4727.72277227723,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4678.21782178218,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4628.71287128713,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4579.20792079208,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4529.70297029703,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4480.19801980198,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-4430.69306930693,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4381.18811881188,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4331.68316831683,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4282.17821782178,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4232.67326732673,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4183.16831683168,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4133.66336633663,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4084.15841584159,0.00000001
49.7518595104995,1,0.0069444444,0.0069444444,0.03,0.0300029940114417,0.0360799545341964,0.1,0.001,3,-4034.65346534654,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3985.14851485149,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3935.64356435644,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3886.13861386139,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3836.63366336634,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3787.12871287129,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3737.62376237624,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3688.11881188119,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3638.61386138614,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3589.10891089109,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3539.60396039604,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3490.09900990099,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3440.59405940594,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3391.08910891089,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3341.58415841584,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3292.07920792079,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3242.57425742574,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3193.06930693069,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3143.56435643564,0.00000001
49.7518595104995,0,2.7777777778,2.7777777778,0.02,0.0200871999481989,0.0239587804296189,0.1,0.006,2,-3094.05940594059,0.00000001
