time,geotop_surface_water,geotop_soilwater,geotop_unsat_soilwater,geotop_groundwt_soilwater,geotop_qsub_outlet,geotop_qsup_outlet
0.05,0.0771047698993643,93.9401825019717,13.3763814637065,80.5638010382652,NA,1.6331564538714e-05
180.05,0.202154052550788,94.3715089379996,13.1639078914374,81.2076010465622,NA,2.94336652705878e-05
360.05,0.345471185665694,94.7339091741294,13.1822081231326,81.5517010509968,NA,3.6610040626471e-05
540.05,0.502863110871171,95.0390855041146,13.0803844478726,81.958701056242,NA,4.25326754084055e-05
720.05,0.673195022769651,95.3018985082954,12.962097447142,82.3398010611534,NA,5.89837278812984e-05
900.05,0.849862886492396,95.537908514142,12.8947074490786,82.6432010650635,NA,0.000106155851786885
1080.05,1.03239426184678,95.7558259493858,12.8943248815089,82.8615010678768,NA,0.000115962478270763
1260.05,1.22119370162406,95.9585168787092,12.8491158076376,83.1094010710716,NA,0.000122509269958562
1440.05,1.41566312984159,96.1465320953727,12.885431022346,83.2611010730267,NA,0.000127302306716908
1620.05,1.61462598435256,96.3209032023698,12.9007021272928,83.4202010750771,NA,0.000133310167083341
1800.05,1.8178041791232,96.482534936592,12.9587338601798,83.5238010764122,NA,0.000138936178240025
1980.05,2.02412416278879,96.6334662029892,12.9986651251465,83.6348010778427,NA,0.000143383688862661
2160.05,2.23369905354455,96.7752005714923,12.9960994917899,83.7791010797024,NA,0.000148806385116565
2340.05,2.44637640120648,96.90922537826,13.0820242979378,83.8272010803223,NA,0.00015585174474306
2520.05,2.66133162093069,97.0373829437047,13.1176818621904,83.9197010815144,NA,0.000162166518379696
2700.05,2.87774880055105,97.1605292786658,13.152028196007,84.0085010826588,NA,0.000233831968387079
2880.05,2.98578082639262,97.1297518221289,15.3782507685572,81.7515010535717,NA,0.000371010628350491
3060.05,2.93117629665649,96.9369120103866,16.2214109701663,80.7155010402203,NA,0.00020516574398671
3240.05,2.88472266831249,96.8100078542531,16.1685068149865,80.6415010392666,NA,0.000141683220359655
3420.05,2.84260353173316,96.7136131553352,16.1424121169746,80.5712010383606,NA,7.95312421026766e-05
3600.05,2.80517076219525,96.6358247325569,16.0646236941963,80.5712010383606,NA,4.93732806804915e-05
3780.05,2.77072204777598,96.5707494947314,15.9847484561801,80.5860010385513,NA,2.5528235200463e-05
3960.05,2.73932674409449,96.5149230349064,15.9770219969749,80.5379010379314,NA,6.54819587932856e-06
4140.05,2.70980486414209,96.4661365151405,15.9208354771137,80.5453010380268,NA,3.4473470711242e-07
4320.05,2.68153916058769,96.4227565606684,15.9144555231184,80.50830103755,NA,4.69345596962447e-14
4500.05,2.65385754085332,96.3837242299318,15.9383231931925,80.4454010367394,NA,0
4680.05,2.62621691033244,96.3484376046807,15.8734365675598,80.4750010371208,NA,0
4860.05,2.59865228635073,96.3162913368642,15.8523902998865,80.4639010369778,NA,0
5040.05,2.5711947093904,96.2867680548877,15.8598670183867,80.4269010365009,NA,0
5220.05,2.54355318032205,96.2595749220997,15.8104738853127,80.449101036787,NA,0
5400.05,2.51619524076208,96.2343460360915,15.8000449994951,80.4343010365963,NA,0
5580.05,2.48885089883208,96.2108536059409,15.7506525690109,80.4602010369301,NA,0
5760.05,2.46172223243117,96.1889033233374,15.7842022871226,80.4047010362148,NA,0
5940.05,2.43453940065112,96.1683370798081,15.7525360434502,80.4158010363579,NA,0
6120.05,2.40747823023796,96.1489845166356,15.7331834802777,80.4158010363579,NA,0
6300.05,2.38035942175984,96.1307530736178,15.7149520372599,80.4158010363579,NA,0
6480.05,2.35347798999399,96.1135063572228,15.708805321008,80.4047010362148,NA,0
6660.05,2.32677314376831,96.0971490210295,15.688747984767,80.4084010362625,NA,0
6840.05,2.30028631222248,96.0816052681208,15.7028042322397,80.3788010358811,NA,0
7020.05,2.27380801036954,96.0668122599274,15.680611223951,80.3862010359764,NA,0
7200.05,2.24754611957073,96.0526985696703,15.6664975336939,80.3862010359764,NA,0
