time,geotop_surface_water,geotop_soilwater,geotop_unsat_soilwater,geotop_groundwt_soilwater,geotop_topsoilmoisture_m2,geotop_qsub_outlet,geotop_qsup_outlet
180,0.0745894386148575,1234.52103010939,187.555141616631,1046.96588849276,236.34135004133,NA,2.162758761869e-06
360,0.202838018400827,1235.38060740983,182.681568843182,1052.69903856665,257.890052240342,NA,1.23143421902178e-05
540,0.353574558270356,1236.22221217344,179.868498559687,1056.35371361375,271.776358027011,NA,4.84703041477261e-05
720,0.511712008942231,1237.05265161701,178.059912969247,1058.99273864776,281.712864469737,NA,9.39775094355546e-05
900,0.676188614269045,1237.87346491331,176.423926233891,1061.44953867942,288.952817842364,NA,0.000124409840949374
1080,0.842505357576398,1238.68441849977,175.047254792154,1063.63716370761,294.622233979404,NA,0.00022694990244987
1260,1.00451080114322,1239.487091743,173.725203008,1065.761888735,299.391616642475,NA,0.000350952749305212
1440,1.15786234063632,1240.28237898543,172.711190227121,1067.57118875831,303.565199527889,NA,0.000501916132157601
1620,1.29969428363465,1241.07162964422,172.132365868278,1068.93926377594,307.278152573854,NA,0.000659757581389201
1800,1.42911852249368,1241.85526987394,171.09190607449,1070.76336379945,310.586919307709,NA,0.00083627621024965
1980,1.54580325938172,1242.63372157475,170.507832757738,1072.12588881701,313.517066594213,NA,0.000999236142568614
2160,1.64991162501418,1243.40746210476,169.868173269536,1073.53928883523,316.105079408735,NA,0.00116394061167541
2340,1.74390963017597,1244.17670314668,169.355364294928,1074.82133885175,318.401806272566,NA,0.00128890819140717
2520,1.82781714444173,1244.94147655081,168.800162682049,1076.14131386876,320.460173800588,NA,0.00144410342203196
2700,1.90295689997138,1245.70173042538,168.302416540403,1077.39931388497,322.320700950921,NA,0.00157254509175245
2880,1.96874588510726,1246.45748542201,167.674371519201,1078.78311390281,324.02213608101,NA,0.00171309291215683
3060,1.94150725558487,1246.97112282759,178.313059055265,1068.65806377232,313.552068803459,NA,0.00149840130241333
3240,1.78620647105284,1246.99497331697,183.948884616978,1063.0460887,299.470664642751,NA,0.00110243471407097
3420,1.65535774092737,1247.01413423663,185.601595557686,1061.41253867894,291.398805864155,NA,0.000874760067303196
3600,1.54413380428485,1247.03132074784,186.547482080869,1060.48383866698,285.553462099284,NA,0.000712229088165435
3780,1.44758133549313,1247.04771893978,187.160505280495,1059.88721365929,280.949519857764,NA,0.000583893338691197
3960,1.36495852308068,1247.06378827486,187.731574622728,1059.33221365213,277.152824506164,NA,0.000468665889905494
4140,1.29273749141023,1247.07968892671,188.094350279048,1058.98533864766,273.928706552833,NA,0.000382680922697601
4320,1.22857992744329,1247.09542498194,188.526336339638,1058.5690886423,271.132651720196,NA,0.000332569939940236
4500,1.17113828941993,1247.11111003997,188.820446401257,1058.29066363871,268.670903876424,NA,0.000272377122211903
4680,1.12000966939377,1247.12676363738,188.973925000448,1058.15283863693,266.476643323898,NA,0.000219984960676021
4860,1.07453770759236,1247.14231339302,189.37242476102,1057.769888632,264.499989602715,NA,0.000186098537137255
5040,1.03291587666888,1247.15779186364,189.510928233229,1057.64686363041,262.705185096711,NA,0.000155618836714606
5220,0.995000543639064,1247.1731832568,189.809369630031,1057.36381362677,261.063327223063,NA,0.000126780673964457
5400,0.9604952082932,1247.18853506545,189.903346439693,1057.28518862575,259.553013674915,NA,0.000104373971529694
5580,0.928718932790682,1247.20388827294,189.854874646366,1057.34901362658,258.156779594719,NA,8.52045595043406e-05
5760,0.899496537384577,1247.21920944339,190.16804582065,1057.05116362274,256.859157320112,NA,6.58137710732063e-05
5940,0.872439492624253,1247.23451351181,190.172249888927,1057.06226362288,255.648622706532,NA,5.45600951828063e-05
6120,0.847085001979023,1247.24979104573,190.228227423374,1057.02156362236,254.515185378492,NA,4.13168868411706e-05
6300,0.823510461430869,1247.26500931935,190.125045695473,1057.13996362388,253.449903961271,NA,3.10627594770212e-05
6480,0.801690287891775,1247.28005338117,190.232589758486,1057.04746362269,252.44448786974,NA,2.10726366717567e-05
6660,0.781240637107054,1247.29505312106,190.286439498868,1057.00861362219,251.49492598325,NA,1.39438496254102e-05
6840,0.761847597133368,1247.30999598816,190.404057367295,1056.90593862087,250.595368780196,NA,7.85467632837259e-06
7020,0.743519871425815,1247.32491084116,190.488347221185,1056.83656361997,249.741540111601,NA,1.92683509721445e-06
7200,0.726104211610043,1247.33972761335,190.526288993675,1056.81343861967,248.928685903549,NA,0
