time,geotop_surface_water,geotop_soilwater,geotop_unsat_soilwater,geotop_groundwt_soilwater,geotop_topsoilmoisture_m2,geotop_qsub_outlet,geotop_qsup_outlet
180,0.0771047698993643,1121.9306196706,164.078307326287,957.852312344313,218.889636933804,NA,1.6331564538714e-05
360,0.202154052550788,1122.70030912995,160.093496724367,962.606812405586,237.86358615756,NA,2.94336652705878e-05
540,0.345471185665694,1123.45627857178,157.9708661291,965.485412442684,250.17565920949,NA,3.6610040626471e-05
720,0.502863110871171,1124.19904267296,155.383630187362,968.815412485599,259.037385106087,NA,4.25326754084055e-05
900,0.673195022769651,1124.92896875523,152.913056228384,972.015912526846,265.446150287986,NA,5.89837278812984e-05
1080,0.849862886492396,1125.64871277079,151.224100212902,974.424612557888,270.423779323697,NA,0.000106155851786885
1260,1.03239426184678,1126.36112621404,150.019913631454,976.341212582588,274.608657225966,NA,0.000115962478270763
1440,1.22119370162406,1127.0671524898,148.380139876977,978.68701261282,278.282277598977,NA,0.000122509269958562
1620,1.41566312984159,1127.76739860922,147.818685980141,979.94871262908,281.53442209959,NA,0.000127302306716908
1800,1.61462598435256,1128.46306595087,147.086153303385,981.376912647486,284.424450397491,NA,0.000133310167083341
1980,1.8178041791232,1129.15438934214,146.630476679876,982.523912662268,286.967170327902,NA,0.000138936178240025
2160,2.02412416278879,1129.84238896713,146.300976291746,983.541412675381,289.21780051291,NA,0.000143383688862661
2340,2.23369905354455,1130.52664706394,145.538534369916,984.988112694025,291.213496655226,NA,0.000148806385116565
2520,2.44637640120648,1131.20749858938,145.827185890302,985.380312699079,292.984460443258,NA,0.00015585174474306
2700,2.66133162093069,1131.88533300102,145.698420291543,986.186912709475,294.601391553879,NA,0.000162166518379696
2880,2.87774880055105,1132.55970674761,145.488494026735,987.071212720871,296.0906278193,NA,0.000233831968387079
3060,2.98578082639262,1133.02322259709,156.467410011739,976.555812585354,286.823201879859,NA,0.000371010628350491
3240,2.93117629665649,1133.05535196707,161.172639441937,971.882712525129,274.411034554243,NA,0.00020516574398671
3420,2.88472266831249,1133.08293442316,162.147421910241,970.935512512922,267.329102754593,NA,0.000141683220359655
3600,2.84260353173316,1133.10902619608,162.684113689736,970.424912506342,262.225336566567,NA,7.95312421026766e-05
3780,2.80517076219525,1133.13467127085,162.946558767557,970.18811250329,258.223506569862,NA,4.93732806804915e-05
3960,2.77072204777598,1133.16018223941,162.909169735312,970.251012504101,254.93770378828,NA,2.5528235200463e-05
4140,2.73932674409449,1133.18562833242,163.204715831801,969.98091250062,252.15707193315,NA,6.54819587932856e-06
4320,2.70980486414209,1133.21097949937,163.300366999656,969.910612499714,249.753581598401,NA,3.4473470711242e-07
4500,2.68153916058769,1133.23591885097,163.395606352165,969.840312498808,247.636254653335,NA,4.69345596962447e-14
4680,2.65385754085332,1133.26043779686,163.76052530244,969.499912494421,245.746802344918,NA,0
4860,2.62621691033244,1133.28487722933,163.588864732385,969.696012496948,244.051170989871,NA,0
5040,2.59865228635073,1133.30926536225,163.683552866206,969.625712496042,242.515856429935,NA,0
5220,2.5711947093904,1133.33347998828,163.911267494857,969.42221249342,241.113652914762,NA,0
5400,2.54355318032205,1133.35771041952,163.80969792448,969.548012495041,239.828406825662,NA,0
5580,2.51619524076208,1133.38182050429,163.863408009633,969.518412494659,238.640955626965,NA,0
5760,2.48885089883208,1133.40583086751,163.550718368515,969.855112498999,237.539675325155,NA,0
5940,2.46172223243117,1133.42977517314,163.837362677529,969.592412495613,236.514022514224,NA,0
6120,2.43453940065112,1133.45367750205,163.79466500558,969.659012496471,235.555781647563,NA,0
6300,2.40747823023796,1133.4774402307,163.866527734846,969.610912495851,234.656798571348,NA,0
6480,2.38035942175984,1133.50117234103,163.84585984461,969.655312496424,233.811725690961,NA,0
6660,2.35347798999399,1133.52479106925,163.899078573212,969.625712496042,233.014058515429,NA,0
6840,2.32677314376831,1133.54828026906,163.826367771775,969.721912497282,232.259033545852,NA,0
7020,2.30028631222248,1133.57163827978,163.997725784406,969.573912495375,231.542824670672,NA,0
7200,2.27380801036954,1133.59487577736,163.884063280225,969.710812497139,230.862401530147,NA,0
