x,y,icell,geotop_unsatSW_mm_time_0001_hr,geotop_unsatSW_mm_time_0002_hr,geotop_unsatSW_mm_time_0003_hr,geotop_unsatSW_mm_time_0004_hr,geotop_unsatSW_mm_time_0005_hr,geotop_unsatSW_mm_time_0006_hr,geotop_unsatSW_mm_time_0007_hr,geotop_unsatSW_mm_time_0008_hr,geotop_unsatSW_mm_time_0009_hr,geotop_unsatSW_mm_time_0010_hr,geotop_unsatSW_mm_time_0011_hr,geotop_unsatSW_mm_time_0012_hr,geotop_unsatSW_mm_time_0013_hr
1,0.5,5,523,170.027000363916,177.786500100046,177.329849824309,175.613550283015,172.754649724811,166.631499864161,160.059400089085,154.182150773704,148.503050673753,142.722900398076,136.792999878526,135.77929995954,129.675450176001
2,1.51020408163265,5,524,172.389650344849,178.760949801654,177.326149772853,175.231600925326,172.639550920576,168.610600568354,162.696649320424,156.942850444466,151.296899747103,145.529150124639,139.603900071234,138.592200167477,132.487799413502
3,2.52040816326531,5,525,176.04639949277,181.941049918532,180.05944872275,177.607150189579,174.710349552333,171.367099694908,166.148800216615,160.474250838161,154.786900617182,148.961800243706,142.982549592853,141.922399029136,135.773349646479
4,3.53061224489796,5,526,175.59874933213,185.792350396514,183.501400053501,180.794050637633,177.699400298297,174.444250203669,169.749300088733,164.168749842793,158.431750070304,152.538200188428,146.494000498205,145.376399159431,139.174700062722
5,4.54081632653061,5,527,176.661499869078,185.426650568843,182.425799686462,179.345599934459,181.008200068027,177.649749815464,173.373799491674,167.928649671376,162.146699707955,156.180599983782,150.067049823701,148.889450076967,142.630300018936
6,5.55102040816326,5,528,179.704499617219,191.310200095177,187.056199647486,183.343300037086,179.629050008953,181.017599068582,177.011799160391,171.744450740516,165.926049929112,159.883949253708,153.695850819349,152.455250266939,146.134349424392
7,6.56122448979592,5,529,178.983099758625,193.750450387597,187.726149987429,188.013050146401,183.697149716318,179.655549675226,180.710250046104,170.630250312388,169.780400115997,163.657349627465,157.387700863183,156.079549808055,149.691249709576
8,7.57142857142857,5,530,179.146149661392,192.970099765807,190.112849883735,188.817849848419,188.503850437701,183.78189932555,179.604299645871,174.634299986064,173.737249989063,167.520999815315,161.159100197256,159.774949494749,153.312250319868
9,8.58163265306122,5,531,178.820199985057,192.173300497234,193.028799630702,189.390949625522,186.424149852246,184.738999046385,184.425750467926,179.078200273216,172.961000818759,171.580599900335,165.087400563061,163.600549753755,157.043450605124
10,9.59183673469388,5,532,169.786500092596,183.034350257367,183.529449626803,184.017699770629,184.5892499201,185.551549680531,187.286349479109,184.886500611901,177.888050209731,171.051149908453,169.315899349749,162.648149486631,160.954849887639
11,10.6020408163265,5,533,168.890699837357,182.275150250643,182.773100025952,183.100700285286,183.291850611567,183.444599062204,183.644849713892,178.812300413847,179.521699156612,176.291399728507,173.932400159538,166.93574981764,165.032350178808
12,11.6122448979592,5,534,171.609099395573,180.248350277543,180.86045011878,181.210450083017,181.322750449181,181.247950159013,180.965998861939,180.245999991894,179.602300096303,174.60055006668,170.467650145292,172.17040034011,169.559600297362
13,12.6224489795918,5,535,177.48834984377,191.451850160956,187.261650059372,187.695550173521,187.733750417829,187.447549030185,191.98199948296,186.353000067174,185.855499748141,180.525400210172,175.492149963975,170.88094977662,166.703450400382
14,13.6326530612245,5,536,180.327349901199,194.402000494301,195.286300033331,195.702049788088,195.57035015896,195.021449960768,194.392499793321,194.019800052047,189.213250298053,184.865449834615,180.721699632704,176.488399598747,172.039399575442
15,14.6428571428571,5,537,184.755149297416,193.625949975103,194.410099647939,194.724900089204,194.458449911326,193.75930018723,193.000100459903,192.641400545835,192.938550468534,188.847348745912,185.270199738443,181.885550264269,178.439450543374
16,15.6530612244898,5,538,184.746400080621,198.213600181043,198.769099917263,198.932299297303,198.5859493725,197.858699969947,197.051850613207,196.564301103354,196.550948638469,192.072600405663,188.284600526094,184.824699629098,181.394049990922
17,16.6632653061224,5,539,188.126150611788,201.111499965191,201.401449739933,201.425400562584,201.08294961974,200.481649581343,199.814400915056,199.231050722301,198.697351198643,193.540099728853,194.158849492669,190.329799149185,186.695449706167
18,17.6734693877551,5,540,187.139300070703,199.851950444281,199.97700015083,199.904749635607,199.556200020015,199.033649545163,198.462649900466,197.856100834906,197.055900003761,196.31174961105,191.054050810635,191.493149939924,187.183999549598
19,18.6836734693878,5,541,186.452499963343,199.03805013746,199.077399913222,198.946949560195,198.587450478226,198.101299908012,197.578100208193,196.983750723302,196.118198800832,195.122500043362,194.346300326288,193.918499816209,188.830800075084
20,19.6938775510204,5,542,185.892149806023,198.423199728131,198.42140013352,198.254549689591,197.880799602717,197.40629978478,196.911450382322,196.363350376487,195.532199274749,194.47894981131,193.480350449681,192.589549254626,191.846749279648
21,20.7040816326531,5,543,183.690949622542,196.203450299799,196.184500399977,195.994550269097,195.607750397176,195.134099759161,194.63060060516,194.022900052369,193.09824956581,191.976199951023,190.883950702846,189.793798979372,188.741799723357
22,21.7142857142857,5,544,183.395700156689,195.901650097221,195.872899424285,195.663699693978,195.263599883765,194.78460047394,194.278950896114,193.674800544977,192.776450235397,191.695699375123,190.606100857258,189.445699658245,188.267200719565
23,22.7244897959184,5,545,184.774899948388,197.275100555271,197.236049827188,197.005799692124,196.590000391006,196.101199369878,195.597899984568,195.06885074079,194.356699381024,193.455999251455,192.450850829482,191.286449600011,190.063000377268
24,23.734693877551,5,546,184.406349714845,196.904950309545,196.857850346714,196.60884924233,196.178700774908,195.677699521184,195.168050285429,194.639199972153,193.969749007374,193.145500775427,192.190249077976,191.036049928516,189.812249597162
