x,y,icell,geotop_satSW_mm_time_0001_hr,geotop_satSW_mm_time_0002_hr,geotop_satSW_mm_time_0003_hr,geotop_satSW_mm_time_0004_hr,geotop_satSW_mm_time_0005_hr,geotop_satSW_mm_time_0006_hr,geotop_satSW_mm_time_0007_hr,geotop_satSW_mm_time_0008_hr,geotop_satSW_mm_time_0009_hr,geotop_satSW_mm_time_0010_hr,geotop_satSW_mm_time_0011_hr,geotop_satSW_mm_time_0012_hr,geotop_satSW_mm_time_0013_hr
65,65.1530612244898,5,588,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66.1632653061224,5,589,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67.1734693877551,5,590,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68.1836734693877,5,591,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69.1938775510204,5,592,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70.2040816326531,5,593,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71.2142857142857,5,594,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72.2244897959184,5,595,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73.234693877551,5,596,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74.2448979591837,5,597,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75.2551020408163,5,598,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76.265306122449,5,599,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77.2755102040816,5,600,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78.2857142857143,5,601,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79.2959183673469,5,602,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80.3061224489796,5,603,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81.3163265306122,5,604,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82.3265306122449,5,605,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83.3367346938775,5,606,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84.3469387755102,5,607,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85.3571428571428,5,608,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86.3673469387755,5,609,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87.3775510204081,5,610,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88.3877551020408,5,611,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89.3979591836735,5,612,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90.4081632653061,5,613,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91.4183673469388,5,614,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92.4285714285714,5,615,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93.4387755102041,5,616,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94.4489795918367,5,617,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95.4591836734694,5,618,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96.469387755102,5,619,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97.4795918367347,5,620,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98.4897959183673,5,621,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99.5,5,622,0,0,0,0,0,0,0,0,0,0,0,0,0
